name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,board,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom,Voucher,Artist
"Accelerate",2,"Instant",R,"tor","90",common,null,Owned,Non-foil,mainboard,false,,,"cantrip, gives-haste, hand-neutral, single-english-word-name, single-target-instant-sorcery","",17241,false,false,"Gary Ruddell"
"Sandworm",5,"Creature - Worm",R,"fin","155",uncommon,null,Owned,Non-foil,mainboard,false,,,"hate-nonbasic-land, removal-destroy, removal-land, single-english-word-name, spot-removal, swap-removal, triggered-ability, tutor-land-basic, tutor-land-to-battlefield, virtual-french-vanilla","",141247,false,false,"Awanqi (Angela Wang)"
"Axgard Cavalry",2,"Creature - Dwarf Berserker",R,"khm","121",common,null,Owned,Non-foil,mainboard,false,,,"activated-ability, gives-haste, repeatable-crime","",87575,false,false,"Evyn Fong"
"Impetuous Sunchaser",2,"Creature - Human Soldier",R,"bng","99",common,null,Owned,Non-foil,mainboard,false,,,"evasion, forced-attacker","",51623,false,false,"Cynthia Sheppard"
"Hill Gigas",6,"Creature - Giant",R,"fin","141",common,null,Owned,Non-foil,mainboard,false,,,"activate-from-hand, cheaper-than-mv, cycle-fin-landcycler, french-vanilla, tutor-land-mountain, tutor-to-hand","",141219,false,false,"Heonhwa"
"Crackling Emergence",2,"Enchantment - Aura",R,"neo","136",common,null,Owned,Non-foil,mainboard,false,,,"animate-land, color-change, gives-haste, gives-indestructible, protects-land, sacrifice-self","",97200,false,false,"Jason Kang"
"Hunted Dragon",5,"Creature - Dragon",R,"rav","131",rare,null,Owned,Non-foil,mainboard,false,,,"cycle-rav-hunted-creature, donate-token, drawback, evasion, out-of-color-token, selective-group-hug, triggered-ability, virtual-french-vanilla","",23480,false,false,"Mark Zug"
"Heirloom Auntie",3,"Creature - Goblin Warlock",B,"ecl","107",common,null,Owned,Non-foil,mainboard,false,,,"death-trigger, gains-mm-counters, removes-mm-counters-self, surveil","",146603,false,false,"Raph Lomotan"
"Bile-Vial Boggart",1,"Creature - Goblin Assassin",B,"ecl","87",common,null,Owned,Non-foil,mainboard,false,,,"alliteration, death-trigger-self, gives-mm-counters","",146561,false,false,"Slawomir Maniak"
"Festering Goblin",1,"Creature - Zombie Goblin",B,"ons","148",common,null,Owned,Non-foil,mainboard,false,,,"cycle-spellshaped-from-fut, death-trigger-self, has-identical-token, removal-toughness, spot-removal","",17903,false,false,"Thomas M. Baxa"
"Mudbutton Cursetosser",1,"Creature - Goblin Warlock",B,"ecl","112",uncommon,null,Owned,Non-foil,mainboard,false,,,"cycle-ecl-u-behold, death-trigger-self, drawback, more-expensive-than-mv, noncreature-typal, power-matters, removal-creature, removal-destroy, spot-removal, typal-goblin","",146613,false,false,"Ioannis Fiore"
"Boggart Mischief",3,"Kindred Enchantment - Goblin",B,"ecl","92",uncommon,null,Owned,Non-foil,mainboard,false,,,"blood-artist-ability, cycle-ecl-typal-kindred, group-slug, mm-counter-cost, multiple-bodies, opponent-loses-life, out-of-color-token, typal-goblin","",146571,false,false,"Ron Spears"
"Prowcatcher Specialist",2,"Creature - Goblin Warrior",R,"dft","142",common,null,Owned,Non-foil,mainboard,false,,,"exhaust, gains-pp-counters","",136407,false,false,"Konstantin Porubov"
"Goblin Assault Team",4,"Creature - Goblin Warrior",R,"war","129",common,null,Owned,Non-foil,mainboard,false,,,"death-trigger-self, gives-pp-counters","",71864,false,false,"Zoltan Boros"
"Goblin War Party",4,"Sorcery",R,"mh1","131",common,null,Owned,Non-foil,mainboard,false,,,"gives-haste, modal, more-expensive-than-mv, multiple-bodies, power-boost-to-all, toughness-boost-to-all","",72634,false,false,"Deruchenko Alexander"
"Goblin Medics",3,"Creature - Goblin Shaman",R,"ulg","79",common,null,Owned,Non-foil,mainboard,false,,,"burn-any, pinger, repeatable-crime, repeatable-removal, spot-removal, triggered-ability, type-errata, uninspired","",12609,false,false,"Jeff Laubenstein"
"Gristle Glutton",2,"Creature - Goblin Scout",R,"ecl","144",common,null,Owned,Non-foil,mainboard,false,,,"activated-ability, alliteration, mm-counter-cost, repeatable-rummage, staple-with-set-s-mechanic","",146679,false,false,"Filip Burburan"
"Krenko's Command",2,"Sorcery",R,"m13","139",common,null,Owned,Non-foil,mainboard,false,,,"cycle-m13-legend-spell, misnomer, multiple-bodies, namesake-spell","",45518,false,false,"Karl Kopinski"
"Shock Brigade",2,"Creature - Goblin Soldier",R,"tdm","120",common,null,Owned,Non-foil,mainboard,false,,,"attack-trigger, attacking-matters-self, delayed-trigger, evasion, french-vanilla, repeatable-creature-tokens, temporary-token","",139193,false,false,"Fajareka Setiawan"
"Torch Courier",1,"Creature - Goblin",R,"grn","119",common,null,Owned,Non-foil,mainboard,false,,,"activated-ability, gives-haste, martyr","",69611,false,false,"Mark Zug"
"Goblin Glasswright",2,"Creature - Goblin Sorcerer",R,"sos","117",common,null,Owned,Non-foil,mainboard,false,,,"alliteration, bear-with-set-s-mechanic, gives-castable-from-exile, mana-filter, mana-storage, mini-refund, ramp","",149733,false,false,"David Auden Nash"
"Goblin Gathering",3,"Sorcery",R,"rna","104",common,null,Owned,Non-foil,mainboard,false,,,"alliteration, cards-in-graveyard-matter, multiple-bodies, scales-with-multiple","",71208,false,false,"Svetlin Velinov"
"Battle-Scarred Goblin",2,"Creature - Goblin Warrior",R,"ltr","115",common,null,Owned,Non-foil,mainboard,false,,,"block-trigger, burn-creature, combat-ping, hate-blocker, pinger, repeatable-removal, spot-removal","",112140,false,false,"Hristo D. Chukov"
"Goblin Surprise",3,"Instant",R,"j25","16",uncommon,null,Owned,Non-foil,mainboard,false,,,"combat-trick, modal, multiple-bodies, trumpet-blast","",132824,false,false,"Kevin Sidharta"
"Goblin Gathering",3,"Sorcery",R,"rna","104",common,null,Owned,Non-foil,mainboard,false,,,"alliteration, cards-in-graveyard-matter, multiple-bodies, scales-with-multiple","",71208,false,false,"Svetlin Velinov"
"Goblin Smuggler",3,"Creature - Goblin Rogue",R,"m20","144",common,null,Owned,Non-foil,mainboard,false,,,"activated-ability, repeatable-crime, tunneling","",73187,false,false,"Dan Murayama Scott"
"Raging Redcap",3,"Creature - Goblin Knight",R,"eld","134",common,null,Owned,Non-foil,mainboard,false,,,"alliteration, french-vanilla","",78396,false,false,"Dan Murayama Scott"
"Goblin Gathering",3,"Sorcery",R,"rna","104",common,null,Owned,Non-foil,mainboard,false,,,"alliteration, cards-in-graveyard-matter, multiple-bodies, scales-with-multiple","",71208,false,false,"Svetlin Velinov"
"Goblin Gathering",3,"Sorcery",R,"rna","104",common,null,Owned,Non-foil,mainboard,false,,,"alliteration, cards-in-graveyard-matter, multiple-bodies, scales-with-multiple","",71208,false,false,"Svetlin Velinov"
"Boneclub Berserker",4,"Creature - Goblin Berserker",R,"ecl","126",common,null,Owned,Non-foil,mainboard,false,,,"alliteration, noncreature-typal, typal-goblin","",146643,false,false,"Slawomir Maniak"
"Elder Auntie",3,"Creature - Goblin Warlock",R,"ecl","133",common,null,Owned,Non-foil,mainboard,false,,,"enters-in-company, out-of-color-token, triggered-ability, virtual-vanilla","",146657,false,false,"Caio Monteiro"
"Goblin Smuggler",3,"Creature - Goblin Rogue",R,"m20","144",common,null,Owned,Non-foil,mainboard,false,,,"activated-ability, repeatable-crime, tunneling","",73187,false,false,"Dan Murayama Scott"
"Goblin Boarders",3,"Creature - Goblin Pirate",R,"fdn","87",common,null,Owned,Non-foil,mainboard,false,,,"gains-pp-counters, raid, virtual-vanilla","",133742,false,false,"Filipe Pagliuso"
"Underfoot Underdogs",3,"Creature - Goblin Warrior",R,"tdm","129",common,null,Owned,Non-foil,mainboard,false,,,"activated-ability, alliteration, enters-in-company, triggered-ability, tunneling","",139213,false,false,"Brent Hollowell"
"Spear Spewer",1,"Creature - Goblin Warrior",R,"rna","117",common,null,Owned,Non-foil,mainboard,false,,,"activated-ability, alliteration, burn-player-each, drawback, pinger","",71234,false,false,"Carl Critchlow"
"Goblin Trailblazer",2,"Creature - Goblin Pirate",R,"rix","105",common,null,Owned,Non-foil,mainboard,false,,,"evasion, french-vanilla","",66663,false,false,"Josh Hass"
"Goblin Arsonist",1,"Creature - Goblin Shaman",R,"roe","147",common,null,Owned,Non-foil,mainboard,false,,,"burn-any, death-trigger-self, spot-removal","",36658,false,false,"Wayne Reynolds"
"Goblin Gathering",3,"Sorcery",R,"rna","104",common,null,Owned,Non-foil,mainboard,false,,,"alliteration, cards-in-graveyard-matter, multiple-bodies, scales-with-multiple","",71208,false,false,"Svetlin Velinov"
"Volley Veteran",4,"Creature - Goblin Warrior",R,"m19","168",uncommon,null,Owned,Non-foil,mainboard,false,,,"alliteration, burn-creature, noncreature-typal, spot-removal, triggered-ability, typal-goblin, virtual-vanilla","",68497,false,false,"Craig J Spearing"
"Frenzied Goblin",1,"Creature - Goblin Berserker",R,"rav","125",uncommon,null,Owned,Non-foil,mainboard,false,,,"attack-trigger, attacking-matters-self, prevent-blocker, repeatable-crime","",23220,false,false,"Carl Critchlow"
"Samurai's Katana",3,"Artifact - Equipment",R,"fin","154",uncommon,null,Owned,Non-foil,mainboard,false,,,"activated-ability, gives-haste, gives-trample, living-weapon, triggered-ability, type-change","",141245,false,false,"Smirtouille"
"Uncaged Fury",3,"Instant",R,"soi","188",common,null,Owned,Non-foil,mainboard,false,,,"combat-trick, gives-double-strike, single-target-instant-sorcery","",60104,false,false,"Jason Kang"
"War Effort",4,"Enchantment",R,"tdm","131",uncommon,null,Owned,Non-foil,mainboard,false,,,"attack-trigger, attacking-matters, delayed-trigger, power-boost-to-all, repeatable-creature-tokens, temporary-token","",139217,false,false,"Ioannis Fiore"
"Bulk Up",2,"Instant",R,"fdn","80",uncommon,null,Owned,Non-foil,mainboard,false,,,"castable-from-graveyard, combat-trick, exile-self, more-expensive-than-mv, power-doubler, repeatable-crime, single-target-instant-sorcery","",133728,false,false,"Warren Mahy"
"Reckless Ransacking",2,"Instant",R,"ecl","152",common,null,Owned,Non-foil,mainboard,false,,,"alliteration, enlarge, giant-growth, ramp, refund, single-target-instant-sorcery","",146695,false,false,"Daren Bader"
"Go for Blood",2,"Sorcery",R,"iko","122",common,null,Owned,Non-foil,mainboard,false,,,"activate-from-hand, cheaper-than-mv, hand-neutral, multiple-targets, pure-draw, removal-fight","",80253,false,false,"Chris Rallis"
"Run Amok",2,"Instant",R,"dom","140",common,null,Owned,Non-foil,mainboard,false,,,"attacking-matters, enlarge, giant-growth, gives-trample, single-target-instant-sorcery","",67745,false,false,"Svetlin Velinov"
"Fists of Flame",2,"Instant",R,"mh1","123",common,null,Owned,Non-foil,mainboard,false,,,"alliteration, cantrip, combat-trick, draw-matters, gives-trample, hand-neutral, single-target-instant-sorcery, unnoted-tracked-information","",72618,false,false,"Steve Argyle"
"Goblin War Drums",3,"Enchantment",R,"fem","58a",common,null,Owned,Non-foil,mainboard,false,,,"gives-menace, keyword-anthem","",-1,false,false,"Dan Frazier"
"Heartfire Immolator",2,"Creature - Human Wizard",R,"m21","150",uncommon,null,Owned,Non-foil,mainboard,false,,,"activated-ability, burn-creature, burn-planeswalker, cast-trigger-you, fling-self, spot-removal, synergy-noncreature","",81527,false,false,"Donato Giancola"
"Ty Lee, Artful Acrobat",3,"Legendary Creature - Human Performer",R,"tla","158",uncommon,null,Owned,Non-foil,mainboard,false,,,"alliteration, attack-trigger, attacking-matters-self, cast-trigger-you, prevent-blocker, reflexive-trigger, repeatable-crime, synergy-noncreature","",144800,false,false,"Rose Benjamin"
"Queen Brahne",3,"Legendary Creature - Human Noble",R,"fin","149",uncommon,null,Owned,Non-foil,mainboard,false,,,"attack-trigger, attacking-matters-self, burn-player, cast-trigger-you, group-slug, out-of-color-token, pinger, repeatable-creature-tokens, synergy-noncreature","",141235,false,false,"Lorenzo Mastroianni"
"Festival Crasher",2,"Creature - Devil",R,"mid","140",common,null,Owned,Non-foil,mainboard,false,,,"cast-trigger-you, synergy-instant, synergy-sorcery","",93248,false,false,"Milivoj Ćeran"
"Lightning Visionary",2,"Creature - Minotaur Shaman",R,"jmp","22",common,null,Owned,Non-foil,mainboard,false,,,"cast-trigger-you, french-vanilla, synergy-noncreature","",81791,false,false,"Bryan Sola"
"Boar-q-pine",3,"Creature - Boar Porcupine",R,"tla","124",common,null,Owned,Non-foil,mainboard,false,,,"cast-trigger-you, gains-pp-counters, repeatable-pp-counters, synergy-noncreature, unique-type-line","",144730,false,false,"Brandon L. Hunt"
"Tackle Artist",4,"Creature - Orc Sorcerer",R,"sos","133",common,null,Owned,Non-foil,mainboard,false,,,"amount-spent-matters, cast-trigger-you, gains-pp-counters, repeatable-pp-counters, self-replacement-effect, synergy-instant, synergy-sorcery","",149765,false,false,"Ioannis Fiore"
"Expressive Firedancer",2,"Creature - Human Sorcerer",R,"sos","114",common,null,Owned,Non-foil,mainboard,false,,,"amount-spent-matters, cast-trigger-you, gains-double-strike, synergy-instant, synergy-sorcery","",149727,false,false,"Billy Christian"
"Spellgorger Weird",3,"Creature - Weird",R,"war","145",common,null,Owned,Non-foil,mainboard,false,,,"cast-trigger-you, gains-pp-counters, has-identical-token, repeatable-pp-counters, synergy-noncreature","",71896,false,false,"James Paick"
"Flame Channeler",2,"Creature - Human Wizard",R,"mid","141",uncommon,null,Owned,Non-foil,mainboard,false,,,"activated-ability, aesthetic-counter, counter-fuel-aesthetic, cycle-mid-alt-transform, repeatable-impulsive-draw, synergy-burn, triggered-ability","",93250,false,false,"Véronique Meignaud"
"Thunderdrum Soloist",2,"Creature - Dwarf Bard",R,"sos","134",uncommon,null,Owned,Non-foil,mainboard,false,,,"amount-spent-matters, burn-player, cast-trigger-you, group-slug, pinger, self-replacement-effect, synergy-instant, synergy-sorcery","",149767,false,false,"Edgar Sánchez Hidalgo"
"Firespitter Whelp",3,"Creature - Dragon",R,"j25","14",uncommon,null,Owned,Non-foil,mainboard,false,,,"burn-player, cast-trigger-you, evasion, group-slug, noncreature-typal, pinger, synergy-noncreature, typal-dragon","",132820,false,false,"David Álvarez"
"Erebor Flamesmith",2,"Creature - Dwarf Artificer",R,"ltr","122",common,null,Owned,Non-foil,mainboard,false,,,"burn-player, cast-trigger-you, group-slug, pinger, synergy-instant, synergy-sorcery","",112154,false,false,"L J Koh"
"Firebrand Archer",2,"Creature - Human Archer",R,"hou","92",common,null,Owned,Non-foil,mainboard,false,,,"burn-player, cast-trigger-you, group-slug, pinger, synergy-noncreature","",64668,false,false,"John Stanko"
"Sawblade Scamp",1,"Creature - Phyrexian Beast",R,"one","147",common,null,Owned,Non-foil,mainboard,false,,,"activated-ability, alliteration, burn-player, cast-trigger-you, counter-fuel-oil, group-slug, pinger, synergy-noncreature","",106509,false,false,"Helge C. Balzer"
"Enraged Flamecaster",3,"Creature - Elemental Sorcerer",R,"ecl","135",common,null,Owned,Non-foil,mainboard,false,,,"burn-player, cast-trigger-you, group-slug, mana-value-matters, pinger","",146661,false,false,"Lars Grant-West"
"Mysidian Elder",3,"Creature - Human Wizard",R,"fin","145",common,null,Owned,Non-foil,mainboard,false,,,"burn-player, cast-trigger-you, enters-in-company, group-slug, out-of-color-token, pinger, synergy-noncreature, virtual-vanilla","",141227,false,false,"David Astruga"
"Kavaron Skywarden",5,"Creature - Kavu Soldier",R,"eoe","140",common,null,Owned,Non-foil,mainboard,false,,,"gains-pp-counters, intervening-if-clause, repeatable-pp-counters, synergy-warp","",142893,false,false,"Diana Franco"
"Lamplight Phoenix",3,"Creature - Phoenix",R,"mkm","137",rare,null,Owned,Non-foil,mainboard,false,,,"cheat-death-self, death-trigger-self, evasion, exile-self, graveyard-fuel, mana-value-matters","",121752,false,false,"Ryan Pancoast"
"Alesha, Who Smiles at Death",3,"Legendary Creature - Human Warrior",R,"frf","90",rare,null,Owned,Non-foil,mainboard,false,,,"attack-trigger, attacking-matters-self, cycle-frf-khan, offcolor-ability, reanimate-creature, synergy-low-power","",55456,false,false,"Anastasia Ovchinnikova"
"Weftstalker Ardent",3,"Creature - Drix Artificer",R,"eoe","169",uncommon,null,Owned,Non-foil,mainboard,false,,,"artifactfall, burn-player, castable-from-exile, cheaper-than-mv, delayed-trigger, exile-self, group-slug, impact-effect, pinger","",142951,false,false,"Valera Lutfullina"
"Kami of Industry",5,"Creature - Spirit",R,"neo","149",common,null,Owned,Non-foil,mainboard,false,,,"delayed-trigger, gives-haste, reanimate-artifact, temporary-reanimation, virtual-vanilla","",97228,false,false,"Chris Rahn"
"Rust Harvester",1,"Artifact Creature - Robot",R,"eoe","159",rare,null,Owned,Non-foil,mainboard,false,,,"activated-ability, burn-any, evasion, gains-pp-counters, graveyard-fuel-artifact, power-matters-self, repeatable-crime, repeatable-pp-counters, repeatable-removal, scales-with-power, spot-removal","",142931,false,false,"Jake Murray"
"Oreplate Pangolin",2,"Artifact Creature - Robot Pangolin",R,"eoe","150",common,null,Owned,Non-foil,mainboard,false,,,"artifactfall, gains-pp-counters, repeatable-pp-counters, triggered-ability, unique-type-line","",142913,false,false,"Dmitry Burmak"
"Gut, True Soul Zealot",3,"Legendary Creature - Goblin Shaman",R,"clb","180",uncommon,null,Owned,Non-foil,mainboard,false,,,"attack-trigger, attacking-matters, cycle-clb-backward-ally-legend, dnd-character, evasion, out-of-color-token, pair-commander, repeatable-creature-tokens, repeatable-sacrifice-outlet, sacrifice-outlet-artifact, sacrifice-outlet-creature, synergy-artifact","",100384,false,false,"Wayne Reynolds"
"Burning Curiosity",3,"Sorcery",R,"ecl","129",common,null,Owned,Non-foil,mainboard,false,,,"long-term-impulsive-draw, mm-counter-cost, self-replacement-effect, staple-with-set-s-mechanic","",146649,false,false,"Jim Pavelec"
"Unlucky Witness",1,"Creature - Human Citizen",R,"snc","128",uncommon,null,Owned,Non-foil,mainboard,false,,,"death-trigger-self, long-term-impulsive-draw","",98475,false,false,"Tyler Walpole"
"Lasting Tarfire",2,"Enchantment",R,"ecl","149",uncommon,null,Owned,Non-foil,mainboard,false,,,"burn-player, counters-matter, group-slug, intervening-if-clause, pinger","",146689,false,false,"Jorge Jacinto"
"Ghitu Chronicler",2,"Creature - Human Wizard",R,"dom","125",common,null,Owned,Non-foil,mainboard,false,,,"hand-neutral, intervening-if-clause, more-expensive-than-mv, regrowth-instant, regrowth-sorcery, virtual-vanilla","",67715,false,false,"Anthony Palumbo"
"Burning Vengeance",3,"Enchantment",R,"isd","133",uncommon,null,Owned,Non-foil,mainboard,false,,,"burn-any, cast-trigger-you, pinger, repeatable-crime, repeatable-removal, spot-removal, synergy-graveyard-cast","",42676,false,false,"Raymond Swanland"
"Boldwyr Aggressor",5,"Creature - Giant Warrior",R,"ecl","125",uncommon,null,Owned,Non-foil,mainboard,false,,,"gives-double-strike, keyword-anthem, typal-giant","",146641,false,false,"Aaron Miller"
"Brambleback Brute",3,"Creature - Giant Warrior",R,"ecl","128",common,null,Owned,Non-foil,mainboard,false,,,"activated-ability, alliteration, counter-fuel-any, gains-mm-counters, prevent-blocker, repeatable-crime","",146647,false,false,"Aaron Miller"
"Goliath Daydreamer",4,"Creature - Giant Wizard",R,"ecl","143",rare,null,Owned,Non-foil,mainboard,false,,,"aesthetic-counter, attack-trigger, attacking-matters-self, cast-trigger-you, free-cast-another, gives-castable-from-exile, synergy-instant, synergy-sorcery","",146677,false,false,"Omar Rayyan"
"Spitfire Lagac",4,"Creature - Lizard",R,"znr","167",common,null,Owned,Non-foil,mainboard,false,,,"burn-player, group-slug, landfall, pinger, triggered-ability","",83315,false,false,"Antonio José Manzanedo"
"Sabotender",2,"Creature - Plant",R,"fin","153",common,null,Owned,Non-foil,mainboard,false,,,"burn-player, group-slug, landfall, pinger, triggered-ability","",141243,false,false,"Toni Infante"
"Rally at the Hornburg",2,"Sorcery",R,"ltr","142",common,null,Owned,Non-foil,mainboard,false,,,"gives-haste, multiple-bodies, out-of-color-token, typal-human","",112194,false,false,"Ekaterina Burmak"
"Bloodshot Cyclops",6,"Creature - Cyclops Giant",R,"uds","77",rare,null,Owned,Non-foil,mainboard,false,,,"activated-ability, burn-any, fling, fling-self, repeatable-crime, repeatable-removal, repeatable-sacrifice-outlet, spot-removal, type-errata, unique-type-line","",12883,false,false,"Ray Lago"
"Mutiny",1,"Sorcery",R,"rix","106",common,null,Owned,Non-foil,mainboard,false,,,"aikido, hate-high-pt, multiple-targets, mutiny, one-sided-fight, single-english-word-name","",66665,false,false,"Gabor Szikszai"
"Vengeful Possession",3,"Sorcery",R,"dsk","162",uncommon,null,Owned,Non-foil,mainboard,false,,,"gives-haste, hand-negative, rummage, single-target-instant-sorcery, threaten, untapper-creature","",130455,false,false,"Dominik Mayer"
"Limits of Solidarity",4,"Sorcery",R,"akh","140",uncommon,null,Owned,Non-foil,mainboard,false,,,"activate-from-hand, cheaper-than-mv, gives-haste, hand-neutral, pure-draw, single-target-instant-sorcery, threaten-with-set-s-mechanic, untapper-creature","",63882,false,false,"Craig J Spearing"
"Act of Treason",3,"Sorcery",R,"m10","124",uncommon,null,Owned,Non-foil,mainboard,false,,,"gives-haste, single-target-instant-sorcery, threaten, untapper-creature","",32851,false,false,"Eric Deschamps"
